no_id,gen_id,vial_id,genvial_id,diet_group,lineage,F2_diet,F1_diet,F0_diet,sex,mass_mg,dev_L1-LP,dev_LP-A,dev_L1-A,ovar_no,wing_length
1953,F2,6,F2-6,PPR,P,rich,poor,poor,f,1.5,4.5,4,8.5,,2.04
1464,F2,4,F2-4,RSR,R,rich,std,rich,f,1.7,4.5,4,8.5,,2.04
2002,F2,7,F2-7,PSS,P,std,std,poor,f,1.5,5.5,4,9.5,37,2.041
1730,F2,7,F2-7,RRS,R,std,rich,rich,f,1.6,5.5,4,9.5,18,2.042
1493,F2,1,F2-1,SSS,S,std,std,std,f,1.4,5.5,4,9.5,38,2.042
1965,F2,9,F2-9,PRR,P,rich,rich,poor,f,1.5,4.5,4,8.5,,2.042
1611,F2,5,F2-5,RSS,R,std,std,rich,f,1.5,5.5,4,9.5,,2.042
1691,F2,7,F2-7,RSS,R,std,std,rich,f,1.5,5.5,4,9.5,36,2.043
1736,F2,8,F2-8,RRS,R,std,rich,rich,f,1.5,5.5,4,9.5,38,2.043
1481,F2,7,F2-7,RSR,R,rich,std,rich,f,1.8,3.5,4,7.5,42,2.043
1461,F2,3,F2-3,RSR,R,rich,std,rich,f,1.7,4.5,4,8.5,41,2.044
1515,F2,4,F2-4,SSS,S,std,std,std,f,1.6,5.5,4,9.5,,2.044
1743,F2,8,F2-8,RRP,R,poor,rich,rich,f,1.5,5.5,4,9.5,34,2.045
1540,F2,6,F2-6,RRR,R,rich,rich,rich,f,1.4,3.5,5,8.5,36,2.045
1911,F2,2,F2-2,PSS,P,std,std,poor,f,1.3,5.5,4,9.5,38,2.045
1424,F2,3,F2-3,RSR,R,rich,std,rich,f,1.6,3.5,4,7.5,,2.045
2005,F2,7,F2-7,PSS,P,std,std,poor,f,1.6,5.5,5,10.5,29,2.046
1692,F2,7,F2-7,RSS,R,std,std,rich,f,1.4,5.5,4,9.5,,2.046
1830,F2,3,F2-3,PRR,P,rich,rich,poor,f,1.5,4.5,4,8.5,37,2.047
1421,F2,4,F2-4,RRR,R,rich,rich,rich,f,1.4,3.5,4,7.5,37,2.047
1484,F2,1,F2-1,RSS,R,std,std,rich,f,1.6,5.5,4,9.5,40,2.047
1681,F2,9,F2-9,RRP,R,poor,rich,rich,f,1.8,4.5,4,8.5,42,2.047
1429,F2,4,F2-4,RRR,R,rich,rich,rich,f,1.7,4.5,4,8.5,46,2.047
1608,F2,5,F2-5,RSS,R,std,std,rich,f,1.4,5.5,4,9.5,,2.047
1754,F2,8,F2-8,RSS,R,std,std,rich,f,1.4,5.5,4,9.5,,2.047
1506,F2,3,F2-3,SSS,S,std,std,std,f,1.5,5.5,4,9.5,37,2.048
2046,F2,2,F2-2,PPS,P,std,poor,poor,f,1.4,5.5,5,10.5,,2.048
1894,F2,7,F2-7,PRR,P,rich,rich,poor,f,1.6,4.5,4,8.5,,2.048
1678,F2,9,F2-9,RRP,R,poor,rich,rich,f,1.4,4.5,4,8.5,37,2.049
1510,F2,3,F2-3,SSS,S,std,std,std,f,1.5,5.5,4,9.5,,2.049
1488,F2,2,F2-2,RRS,R,std,rich,rich,f,1.7,5.5,5,10.5,31,2.05
1825,F2,2,F2-2,PRR,P,rich,rich,poor,f,1.6,4.5,4,8.5,38,2.05
1518,F2,2,F2-2,RPR,R,rich,poor,rich,f,1.6,4.5,4,8.5,39,2.05
1406,F2,1,F2-1,RRR,R,rich,rich,rich,f,1.6,4.5,4,8.5,41,2.05
1402,F2,1,F2-1,RRR,R,rich,rich,rich,f,1.9,3.5,4,7.5,,2.05
1762,F2,9,F2-9,RSS,R,std,std,rich,f,1.5,5.5,4,9.5,,2.05
1777,F2,7,F2-7,RPP,R,poor,poor,rich,f,1.4,4.5,4,8.5,34,2.051
1426,F2,3,F2-3,RRR,R,rich,rich,rich,f,1.6,4.5,4,8.5,36,2.052
1491,F2,2,F2-2,RRS,R,std,rich,rich,f,1.6,5.5,4,9.5,36,2.052
1882,F2,5,F2-5,PRR,P,rich,rich,poor,f,1.5,4.5,4,8.5,38,2.052
1698,F2,6,F2-6,RPR,R,rich,poor,rich,f,1.6,3.5,4,7.5,,2.052
1425,F2,4,F2-4,RSR,R,rich,std,rich,f,1.4,3.5,4,7.5,,2.052
1699,F2,6,F2-6,RPR,R,rich,poor,rich,f,1.6,3.5,4,7.5,33,2.053
1935,F2,3,F2-3,PPR,P,rich,poor,poor,f,1.3,4.5,4,8.5,37,2.053
1863,F2,1,F2-1,PPR,P,rich,poor,poor,f,1.5,4.5,4,8.5,,2.053
1643,F2,5,F2-5,RRS,R,std,rich,rich,f,1.5,5.5,4,9.5,35,2.054
1780,F2,7,F2-7,RPP,R,poor,poor,rich,f,1.5,4.5,4,8.5,36,2.054
1638,F2,8,F2-8,RRR,R,rich,rich,rich,f,1.5,4.5,4,8.5,37,2.054
1961,F2,8,F2-8,PRR,P,rich,rich,poor,f,1.7,4.5,4,8.5,39,2.054
1554,F2,6,F2-6,RSR,R,rich,std,rich,f,1.8,3.5,4,7.5,44,2.054
1411,F2,2,F2-2,RRR,R,rich,rich,rich,f,1.8,4.5,4,8.5,,2.054
1728,F2,7,F2-7,RRS,R,std,rich,rich,f,1.6,5.5,4,9.5,,2.054
1752,F2,8,F2-8,RSS,R,std,std,rich,f,1.6,5.5,4,9.5,37,2.055
1568,F2,5,F2-5,RPR,R,rich,poor,rich,f,1.2,1.5,5,6.5,42,2.055
1838,F2,4,F2-4,PRR,P,rich,rich,poor,f,1.4,4.5,3,7.5,44,2.055
2095,F2,5,F2-5,PPS,P,std,poor,poor,f,1.6,5.5,5,10.5,,2.055
1831,F2,3,F2-3,PRR,P,rich,rich,poor,f,1.5,4.5,4,8.5,,2.055
1890,F2,6,F2-6,PRR,P,rich,rich,poor,f,1.5,4.5,4,8.5,,2.055
1433,F2,4,F2-4,RRR,R,rich,rich,rich,f,1.7,4.5,4,8.5,29,2.056
1409,F2,2,F2-2,RRR,R,rich,rich,rich,f,2.2,4.5,4,8.5,35,2.056
1939,F2,4,F2-4,PPR,P,rich,poor,poor,f,1.8,4.5,4,8.5,,2.056
2039,F2,1,F2-1,PPS,P,std,poor,poor,f,1.5,5.5,3,8.5,,2.056
2110,F2,8,F2-8,PPS,P,std,poor,poor,f,1.7,5.5,5,10.5,,2.056
1639,F2,8,F2-8,RRR,R,rich,rich,rich,f,1.7,4.5,4,8.5,43,2.057
1479,F2,7,F2-7,RSR,R,rich,std,rich,f,1.9,3.5,5,8.5,,2.057
1423,F2,4,F2-4,RRR,R,rich,rich,rich,f,1.8,3.5,4,7.5,37,2.058
1432,F2,4,F2-4,RRR,R,rich,rich,rich,f,1.7,4.5,4,8.5,42,2.058
1895,F2,7,F2-7,PRR,P,rich,rich,poor,f,1.6,4.5,4,8.5,,2.058
1413,F2,2,F2-2,RRR,R,rich,rich,rich,f,1.6,4.5,4,8.5,,2.058
1434,F2,4,F2-4,RRR,R,rich,rich,rich,f,1.7,4.5,4,8.5,,2.058
1562,F2,4,F2-4,RPR,R,rich,poor,rich,f,1.3,3.5,5,8.5,31,2.059
1750,F2,9,F2-9,RRP,R,poor,rich,rich,f,1.7,5.5,4,9.5,37,2.059
1828,F2,2,F2-2,PRR,P,rich,rich,poor,f,1.5,4.5,4,8.5,,2.059
1438,F2,1,F2-1,RRS,R,std,rich,rich,f,1.8,5.5,4,9.5,,2.059
1940,F2,4,F2-4,PPR,P,rich,poor,poor,f,1.4,4.5,4,8.5,39,2.06
1475,F2,5,F2-5,RSR,R,rich,std,rich,f,1.8,4.5,4,8.5,43,2.06
1420,F2,2,F2-2,RSR,R,rich,std,rich,f,1.7,4.5,3,7.5,48,2.06
1896,F2,7,F2-7,PRR,P,rich,rich,poor,f,1.6,4.5,4,8.5,37,2.061
1408,F2,1,F2-1,RRR,R,rich,rich,rich,f,1.6,4.5,4,8.5,40,2.061
1517,F2,2,F2-2,RPR,R,rich,poor,rich,f,1.5,4.5,4,8.5,42,2.061
1897,F2,7,F2-7,PRR,P,rich,rich,poor,f,1.5,4.5,4,8.5,,2.061
1581,F2,6,F2-6,RRS,R,std,rich,rich,f,1.5,4.5,4,8.5,,2.061
1852,F2,1,F2-1,PSS,P,std,std,poor,f,1.6,5.5,4,9.5,37,2.062
1947,F2,5,F2-5,PPR,P,rich,poor,poor,f,1.6,4.5,3,7.5,43,2.062
1737,F2,8,F2-8,RRS,R,std,rich,rich,f,1.6,5.5,4,9.5,36,2.063
1791,F2,8,F2-8,RPR,R,rich,poor,rich,f,1.5,4.5,3,7.5,37,2.063
1870,F2,2,F2-2,PPR,P,rich,poor,poor,f,1.8,4.5,4,8.5,44,2.063
1671,F2,8,F2-8,RRP,R,poor,rich,rich,f,1.6,4.5,4,8.5,,2.063
1539,F2,6,F2-6,RRR,R,rich,rich,rich,f,1.5,3.5,5,8.5,,2.063
1576,F2,4,F2-4,RRS,R,std,rich,rich,f,1.6,5.5,4,9.5,34,2.064
1511,F2,4,F2-4,SSS,S,std,std,std,f,1.6,5.5,4,9.5,37,2.064
1431,F2,4,F2-4,RRR,R,rich,rich,rich,f,1.7,4.5,4,8.5,39,2.064
1788,F2,8,F2-8,RPR,R,rich,poor,rich,f,1.5,4.5,4,8.5,41,2.064
1555,F2,6,F2-6,RSR,R,rich,std,rich,f,1.5,3.5,5,8.5,42,2.064
2040,F2,1,F2-1,PPS,P,std,poor,poor,f,1.4,5.5,4,9.5,44,2.064
1509,F2,3,F2-3,SSS,S,std,std,std,f,1.7,5.5,4,9.5,36,2.065
1873,F2,2,F2-2,PPR,P,rich,poor,poor,f,1.6,4.5,4,8.5,37,2.065
1682,F2,5,F2-5,RSS,R,std,std,rich,f,1.4,6.5,4,10.5,38,2.066
2007,F2,7,F2-7,PSS,P,std,std,poor,f,1.5,5.5,4,9.5,39,2.066
1824,F2,2,F2-2,PRR,P,rich,rich,poor,f,1.4,4.5,4,8.5,41,2.066
2054,F2,3,F2-3,PPS,P,std,poor,poor,f,1.5,5.5,3,8.5,,2.066
1468,F2,4,F2-4,RSR,R,rich,std,rich,f,1.8,4.5,4,8.5,,2.066
1641,F2,4,F2-4,RRS,R,std,rich,rich,f,1.7,6.5,3,9.5,40,2.067
1859,F2,1,F2-1,PSP,P,poor,std,poor,f,1.8,5.5,4,9.5,,2.067
1598,F2,3,F2-3,RSS,R,std,std,rich,f,1.4,5.5,4,9.5,37,2.069
2108,F2,8,F2-8,PPS,P,std,poor,poor,f,1.6,5.5,4,9.5,,2.069
1619,F2,5,F2-5,SSS,S,std,std,std,f,1.5,5.5,4,9.5,35,2.07
1695,F2,7,F2-7,RSS,R,std,std,rich,f,1.4,5.5,4,9.5,36,2.07
1566,F2,5,F2-5,RPR,R,rich,poor,rich,f,1.2,1.5,5,6.5,30,2.071
1963,F2,8,F2-8,PRR,P,rich,rich,poor,f,1.5,4.5,4,8.5,37,2.071
1934,F2,3,F2-3,PPR,P,rich,poor,poor,f,1.4,4.5,4,8.5,39,2.071
1840,F2,4,F2-4,PRR,P,rich,rich,poor,f,1.6,4.5,3,7.5,40,2.071
1948,F2,6,F2-6,PPR,P,rich,poor,poor,f,1.4,4.5,4,8.5,,2.071
1856,F2,1,F2-1,PSS,P,std,std,poor,f,1.5,5.5,4,9.5,35,2.073
1778,F2,7,F2-7,RPP,R,poor,poor,rich,f,1.5,4.5,4,8.5,39,2.073
1569,F2,5,F2-5,RPR,R,rich,poor,rich,f,1.2,1.5,5,6.5,39,2.073
1501,F2,2,F2-2,SSS,S,std,std,std,f,1.6,5.5,4,9.5,41,2.074
2055,F2,3,F2-3,PPS,P,std,poor,poor,f,1.4,5.5,4,9.5,,2.074
1675,F2,8,F2-8,RRP,R,poor,rich,rich,f,1.6,4.5,3,7.5,43,2.075
1414,F2,1,F2-1,RSR,R,rich,std,rich,f,1.7,4.5,4,8.5,,2.075
1477,F2,7,F2-7,RSR,R,rich,std,rich,f,1.8,3.5,5,8.5,38,2.076
1795,F2,9,F2-9,RPR,R,rich,poor,rich,f,1.5,4.5,4,8.5,39,2.077
1536,F2,6,F2-6,RRR,R,rich,rich,rich,f,1.9,3.5,5,8.5,39,2.077
1559,F2,4,F2-4,RPR,R,rich,poor,rich,f,1.3,3.5,5,8.5,35,2.078
1796,F2,9,F2-9,RPR,R,rich,poor,rich,f,1.4,4.5,3,7.5,38,2.078
1629,F2,7,F2-7,RRR,R,rich,rich,rich,f,1.5,4.5,4,8.5,40,2.079
1993,F2,5,F2-5,PSS,P,std,std,poor,f,1.6,5.5,4,9.5,,2.079
1632,F2,7,F2-7,RRR,R,rich,rich,rich,f,1.6,4.5,3,7.5,36,2.08
1494,F2,1,F2-1,SSS,S,std,std,std,f,1.4,5.5,4,9.5,38,2.08
2093,F2,5,F2-5,PPS,P,std,poor,poor,f,1.8,5.5,5,10.5,,2.08
1971,F2,10,F2-10,PRR,P,rich,rich,poor,f,1.4,4.5,3,7.5,,2.082
1964,F2,9,F2-9,PRR,P,rich,rich,poor,f,1.4,4.5,4,8.5,35,2.083
1867,F2,1,F2-1,PPR,P,rich,poor,poor,f,1.6,4.5,4,8.5,40,2.083
1635,F2,8,F2-8,RRR,R,rich,rich,rich,f,1.6,4.5,4,8.5,40,2.083
1571,F2,3,F2-3,RRS,R,std,rich,rich,f,1.7,5.5,4,9.5,40,2.083
1524,F2,3,F2-3,RPR,R,rich,poor,rich,f,1.6,3.5,4,7.5,42,2.083
1708,F2,7,F2-7,RPR,R,rich,poor,rich,f,1.4,2.5,4,6.5,42,2.083
1970,F2,10,F2-10,PRR,P,rich,rich,poor,f,1.5,4.5,4,8.5,43,2.083
1560,F2,4,F2-4,RPR,R,rich,poor,rich,f,1.4,3.5,5,8.5,46,2.083
1526,F2,3,F2-3,RPR,R,rich,poor,rich,f,1.7,3.5,4,7.5,,2.083
1833,F2,3,F2-3,PRR,P,rich,rich,poor,f,1.5,4.5,4,8.5,39,2.084
1893,F2,7,F2-7,PRR,P,rich,rich,poor,f,1.8,4.5,4,8.5,,2.084
2091,F2,8,F2-8,PSS,P,std,std,poor,f,1.6,5.5,4,9.5,,2.086
1851,F2,1,F2-1,PSS,P,std,std,poor,f,1.4,5.5,4,9.5,38,2.087
1836,F2,4,F2-4,PRR,P,rich,rich,poor,f,1.6,4.5,4,8.5,40,2.089
1924,F2,4,F2-4,PSS,P,std,std,poor,f,1.7,5.5,5,10.5,35,2.09
1674,F2,8,F2-8,RRP,R,poor,rich,rich,f,1.3,4.5,4,8.5,,2.09
1834,F2,3,F2-3,PRR,P,rich,rich,poor,f,1.5,4.5,4,8.5,36,2.091
1677,F2,9,F2-9,RRP,R,poor,rich,rich,f,1.5,4.5,4,8.5,41,2.091
1520,F2,2,F2-2,RPR,R,rich,poor,rich,f,1.7,4.5,4,8.5,43,2.092
1470,F2,5,F2-5,RSR,R,rich,std,rich,f,1.8,4.5,4,8.5,,2.092
1430,F2,4,F2-4,RRR,R,rich,rich,rich,f,2,4.5,4,8.5,31,2.093
1887,F2,6,F2-6,PRR,P,rich,rich,poor,f,1.5,4.5,4,8.5,,2.093
1532,F2,5,F2-5,RRR,R,rich,rich,rich,f,1.4,3.5,5,8.5,42,2.094
1994,F2,5,F2-5,PSS,P,std,std,poor,f,1.6,5.5,4,9.5,,2.094
1630,F2,7,F2-7,RRR,R,rich,rich,rich,f,1.7,4.5,4,8.5,32,2.095
1537,F2,6,F2-6,RRR,R,rich,rich,rich,f,1.6,3.5,4,7.5,38,2.095
1465,F2,4,F2-4,RSR,R,rich,std,rich,f,1.6,4.5,4,8.5,42,2.096
1885,F2,5,F2-5,PRR,P,rich,rich,poor,f,1.7,4.5,4,8.5,36,2.1
1417,F2,1,F2-1,RSR,R,rich,std,rich,f,1.7,4.5,3,7.5,44,2.1
1680,F2,9,F2-9,RRP,R,poor,rich,rich,f,1.9,4.5,4,8.5,46,2.1
1868,F2,2,F2-2,PPR,P,rich,poor,poor,f,1.7,4.5,4,8.5,,2.1
1435,F2,4,F2-4,RRR,R,rich,rich,rich,f,1.8,4.5,4,8.5,37,2.101
1950,F2,6,F2-6,PPR,P,rich,poor,poor,f,1.6,4.5,4,8.5,42,2.104
1701,F2,6,F2-6,RPR,R,rich,poor,rich,f,1.5,3.5,4,7.5,39,2.108
1689,F2,6,F2-6,RSS,R,std,std,rich,f,1.4,5.5,4,9.5,41,2.108
1676,F2,9,F2-9,RRP,R,poor,rich,rich,f,1.4,4.5,3,7.5,48,2.108
1945,F2,5,F2-5,PPR,P,rich,poor,poor,f,1.5,4.5,4,8.5,,2.108
1471,F2,5,F2-5,RSR,R,rich,std,rich,f,2,4.5,4,8.5,,2.108
1883,F2,5,F2-5,PRR,P,rich,rich,poor,f,1.9,4.5,4,8.5,40,2.11
1684,F2,6,F2-6,RSS,R,std,std,rich,f,1.5,5.5,4,9.5,37,2.111
1558,F2,4,F2-4,RPR,R,rich,poor,rich,f,1.4,3.5,5,8.5,38,2.113
1535,F2,6,F2-6,RRR,R,rich,rich,rich,f,1.4,3.5,5,8.5,38,2.113
1553,F2,6,F2-6,RSR,R,rich,std,rich,f,1.4,3.5,5,8.5,34,2.117
1794,F2,9,F2-9,RPR,R,rich,poor,rich,f,1.6,4.5,4,8.5,39,2.118
1403,F2,1,F2-1,RRR,R,rich,rich,rich,f,1.9,3.5,5,8.5,48,2.118
1650,F2,6,F2-6,RRS,R,std,rich,rich,f,1.6,5.5,3,8.5,,2.118
1531,F2,5,F2-5,RRR,R,rich,rich,rich,f,1.8,3.5,5,8.5,40,2.12
1428,F2,3,F2-3,RRR,R,rich,rich,rich,f,2,4.5,4,8.5,36,2.127
1521,F2,2,F2-2,RPR,R,rich,poor,rich,f,1.7,4.5,4,8.5,40,2.136
1705,F2,7,F2-7,RPR,R,rich,poor,rich,f,1.7,2.5,3,5.5,44,2.139
1401,F2,1,F2-1,RRR,R,rich,rich,rich,f,2,3.5,4,7.5,,2.143
1529,F2,5,F2-5,RRR,R,rich,rich,rich,f,1.7,3.5,5,8.5,50,2.157
1556,F2,6,F2-6,RSR,R,rich,std,rich,f,1.6,3.5,5,8.5,39,2.158
1952,F2,6,F2-6,PPR,P,rich,poor,poor,f,1.8,4.5,4,8.5,,2.164
1563,F2,4,F2-4,RPR,R,rich,poor,rich,f,1.3,3.5,5,8.5,43,2.171
1545,F2,2,F2-2,RRP,R,poor,rich,rich,f,0.9,5.5,5,10.5,,1735
1444,F2,2,F2-2,RRS,R,std,rich,rich,f,1.5,5.5,4,9.5,37,1857
1542,F2,1,F2-1,RRP,R,poor,rich,rich,f,1,5.5,5,10.5,,1922
1492,F2,2,F2-2,RRS,R,std,rich,rich,f,1.6,5.5,4,9.5,36,1961
1679,F2,9,F2-9,RRP,R,poor,rich,rich,f,1.6,4.5,4,8.5,,2043
1415,F2,1,F2-1,RSR,R,rich,std,rich,f,1.8,4.5,4,8.5,41,2049
1723,F2,4,F2-4,RPP,R,poor,poor,rich,f,1,5.6,4,9.6,30,
1774,F2,6,F2-6,RPP,R,poor,poor,rich,f,1.2,4.5,4,8.5,31,
1985,F2,4,F2-4,PRP,P,poor,rich,poor,f,1.1,6.5,4,10.5,33,
1473,F2,5,F2-5,RSR,R,rich,std,rich,f,1.8,4.5,4,8.5,34,
1966,F2,9,F2-9,PRR,P,rich,rich,poor,f,1.5,4.5,4,8.5,36,
1744,F2,8,F2-8,RRP,R,poor,rich,rich,f,1.4,5.5,4,9.5,36,
2030,F2,8,F2-8,PSP,P,poor,std,poor,f,1.4,4.5,4,8.5,37,
1466,F2,4,F2-4,RSR,R,rich,std,rich,f,1.8,4.5,4,8.5,37,
1507,F2,3,F2-3,SSS,S,std,std,std,f,1.5,5.5,4,9.5,39,
1706,F2,7,F2-7,RPR,R,rich,poor,rich,f,1.4,2.5,4,6.5,41,
1472,F2,5,F2-5,RSR,R,rich,std,rich,f,1.8,4.5,4,8.5,43,
2071,F2,2,F2-2,PPP,P,poor,poor,poor,f,1.6,5.5,6,11.5,,
2179,F2,7,F2-7,PPP,P,poor,poor,poor,f,1.5,6.5,5,11.5,,
2197,F2,4,F2-4,PPP,P,poor,poor,poor,f,1.2,8.5,4,12.5,,
1872,F2,2,F2-2,PPR,P,rich,poor,poor,f,1.4,4.5,3,7.5,,
2051,F2,3,F2-3,PPS,P,std,poor,poor,f,1.6,5.5,4,9.5,,
2063,F2,7,F2-7,PPS,P,std,poor,poor,f,1.6,4.5,5,9.5,,
2092,F2,5,F2-5,PPS,P,std,poor,poor,f,1.4,5.5,5,10.5,,
2103,F2,6,F2-6,PPS,P,std,poor,poor,f,1.8,5.5,5,10.5,,
1904,F2,4,F2-4,PRP,P,poor,rich,poor,f,1.4,5.5,4,9.5,,
2187,F2,9,F2-9,PRP,P,poor,rich,poor,f,1.5,7.5,4,11.5,,
1889,F2,6,F2-6,PRR,P,rich,rich,poor,f,1.5,4.5,4,8.5,,
1960,F2,8,F2-8,PRR,P,rich,rich,poor,f,1.8,4.5,4,8.5,,
1962,F2,8,F2-8,PRR,P,rich,rich,poor,f,1.2,4.5,5,9.5,,
1968,F2,9,F2-9,PRR,P,rich,rich,poor,f,1.6,4.5,4,8.5,,
2025,F2,7,F2-7,PSP,P,poor,std,poor,f,1.3,5.5,6,11.5,,
1811,F2,7,F2-7,RPP,R,poor,poor,rich,f,1.1,6.5,4,10.5,,
1814,F2,8,F2-8,RPP,R,poor,poor,rich,f,1.3,5.5,4,9.5,,
1702,F2,6,F2-6,RPR,R,rich,poor,rich,f,1.6,3.5,4,7.5,,
1799,F2,9,F2-9,RPR,R,rich,poor,rich,f,1.5,4.5,4,8.5,,
1549,F2,2b,F2-2b,RRP,R,poor,rich,rich,f,1,5.5,5,10.5,,
1551,F2,2b,F2-2b,RRP,R,poor,rich,rich,f,0.8,5.5,5,10.5,,
1665,F2,6,F2-6,RRP,R,poor,rich,rich,f,1,5.5,4,9.5,,
1538,F2,6,F2-6,RRR,R,rich,rich,rich,f,1.6,3.5,5,8.5,,
1636,F2,8,F2-8,RRR,R,rich,rich,rich,f,1.6,4.5,4,8.5,,
1733,F2,7,F2-7,RRS,R,std,rich,rich,f,1.5,5.5,4,9.5,,
1458,F2,3,F2-3,RSR,R,rich,std,rich,f,1.5,4.5,4,8.5,,
1459,F2,3,F2-3,RSR,R,rich,std,rich,f,1.4,4.5,4,8.5,,
1460,F2,3,F2-3,RSR,R,rich,std,rich,f,1.6,4.5,4,8.5,,
1557,F2,6,F2-6,RSR,R,rich,std,rich,f,1.3,3.5,5,8.5,,
1606,F2,4,F2-4,RSS,R,std,std,rich,f,1.3,5.5,4,9.5,,
